Product_name,Product_price,Rate,Review,Summary
JBL Tune 760 NC,5000,3,excellent,great sound
JBL Tune 760 NC,20000,2,average,great sound
Sony WH-1000XM4,25000,2,amazing,worth the price
Bose QuietComfort 35 II,50000,5,best purchase,worth the price
Bose QuietComfort 35 II,15000,4,satisfactory,sound is average
JBL Tune 760 NC,20000,2,satisfactory,battery lasts long
Bose QuietComfort 35 II,5000,5,amazing,comfortable
Bose QuietComfort 35 II,50000,1,poor,highly recommended
Bose QuietComfort 35 II,50000,1,not worth,comfortable
Sennheiser HD 450BT,20000,2,satisfactory,overpriced for features
Sony WH-1000XM4,15000,4,good,battery lasts long
Apple AirPods Max,15000,1,satisfactory,noise cancellation is great
Bose QuietComfort 35 II,15000,1,not worth,noise cancellation is great
Bose QuietComfort 35 II,25000,2,value for money,battery lasts long
Sony WH-1000XM4,25000,2,best purchase,overpriced for features
Sennheiser HD 450BT,15000,4,not worth,comfortable
Sennheiser HD 450BT,50000,4,not worth,worth the price
Apple AirPods Max,25000,3,average,overpriced for features
Apple AirPods Max,15000,2,decent,great sound
Sony WH-1000XM4,15000,3,amazing,build quality is solid
Bose QuietComfort 35 II,5000,5,value for money,battery lasts long
Sony WH-1000XM4,25000,1,amazing,battery lasts long
Bose QuietComfort 35 II,5000,5,amazing,sound is average
JBL Tune 760 NC,20000,3,not worth,overpriced for features
Apple AirPods Max,20000,2,good,battery lasts long
